gender,title,first,last,street,city,state,zip,email,username,password,salt,md5,sha1,sha256,registered,dob,phone,cell,TFN,large,medium,thumbnail,version,nationality
male,mr,dwight,gray,"5057 w pecan st",townsville,"new south wales",99188,dwight.gray67@example.com,goldenpeacock535,chandler,eLtscpFs,8afff02c440cec1d2a4aced0517f5f71,ccd033e02caa4e729adc19b9780a3a9199b2e68d,7179d84fd126326cc863df8619bb356d07354d984466fd702d1dbdf77dc1bef5,1383752710,341907841,01-1127-1011,0413-025-040,040479834,http://api.randomuser.me/portraits/men/29.jpg,http://api.randomuser.me/portraits/med/men/29.jpg,http://api.randomuser.me/portraits/thumb/men/29.jpg,0.6,AU
male,mr,stephen,robertson,"1854 w pecan st",queanbeyan,"new south wales",34878,stephen.robertson85@example.com,lazyfrog624,noelle,XNcosWYu,058242f092bf5074930f2adb9e7054cf,4383a48e036a2a07cf87f2c6c4130e09f6f51ff9,188fe8b346acd7b42d587c77009db7ffb39d5470ffda67db1d1e71f03935dd44,1036872652,1257998248,03-5790-4011,0496-104-008,768549537,http://api.randomuser.me/portraits/men/3.jpg,http://api.randomuser.me/portraits/med/men/3.jpg,http://api.randomuser.me/portraits/thumb/men/3.jpg,0.6,AU
male,mr,tyrone,ward,"2952 thornridge cir",nowra,"western australia",15118,tyrone.ward84@example.com,bluewolf501,robert1,4lkyhfam,c092ea3602ad2f08f9cdceaeebb3c978,4ca456ec735ed3703859508b0af0128971a55fef,cfc202606d6ef08b119818b9324ec250da3fe7494a4e7d3c6ece2cb509b696de,938867226,1107346977,01-1646-8506,0498-966-862,039059538,http://api.randomuser.me/portraits/men/18.jpg,http://api.randomuser.me/portraits/med/men/18.jpg,http://api.randomuser.me/portraits/thumb/men/18.jpg,0.6,AU
female,miss,arianna,simpson,"3852 shady ln dr",toowoomba,queensland,94141,arianna.simpson85@example.com,crazysnake192,hehehe,TYluzccg,45b5fc8b66ca6d7efd6f9101409e1ef2,e54bdab33a7e7087ca1bf462975eea2fb5e8f332,cd58be5122692038122c640e340628fd8482c413a96133885bf00099e8f183d1,1411179200,922424328,08-2013-7243,0468-719-401,506844570,http://api.randomuser.me/portraits/women/77.jpg,http://api.randomuser.me/portraits/med/women/77.jpg,http://api.randomuser.me/portraits/thumb/women/77.jpg,0.6,AU
male,mr,brian,hunt,"6827 lakeshore rd",melbourne,"western australia",39772,brian.hunt42@example.com,greengoose369,butkus,yOFfwgxD,9ce3f42dfa205b4d01a148ad13df8fef,a0b4bd014cdb4776a34bfc53484f15474a3bba32,d6d632ccb03290fdcf21e2c741b8cbd121ee42db1cd61fe77c4b3b3858c4b7b0,1018943539,386117626,08-3533-0269,0491-992-584,826628527,http://api.randomuser.me/portraits/men/51.jpg,http://api.randomuser.me/portraits/med/men/51.jpg,http://api.randomuser.me/portraits/thumb/men/51.jpg,0.6,AU
female,mrs,genesis,west,"3813 edwards rd",melbourne,victoria,63978,genesis.west85@example.com,heavyladybug482,duke,YPJnYkVq,41a7ffe12053da2b661ccd4145061678,a3cf3b48bc505a948dcb2a773d4408e03f7fca8d,a2d7b2bc0fab5fdc704f21e8ccad1e7c45c4f2add9d0ccd929aaf9abfa961f20,1002155001,861419305,08-4317-1629,0449-782-203,334759630,http://api.randomuser.me/portraits/women/86.jpg,http://api.randomuser.me/portraits/med/women/86.jpg,http://api.randomuser.me/portraits/thumb/women/86.jpg,0.6,AU
female,ms,vickie,wright,"3682 elgin st","wagga wagga","northern territory",34544,vickie.wright23@example.com,silverladybug785,2112,Jb49Hrql,fc4097d919fe7e859f7bce67507ae2c2,129d6bdc724b22d23e10a85388a02963faea6024,7e9029c706cf475b9e0898bc319d9dc2ef1f993c446c2fe2db9d8e23bb46f09f,1199539610,1019542139,08-2966-2432,0456-631-436,289584921,http://api.randomuser.me/portraits/women/4.jpg,http://api.randomuser.me/portraits/med/women/4.jpg,http://api.randomuser.me/portraits/thumb/women/4.jpg,0.6,AU
male,mr,franklin,west,"9968 stevens creek blvd",orange,"new south wales",32688,franklin.west27@example.com,whitebird861,playa,fFGlMjOY,251385605c4761879f6610e0b6cc58b2,cd92e9595c69193c71f80137226273dc750847ce,9e64e90358eb46bad5d223f51a9c4fd2c8744a1e03dd97510aa1909d97d5d417,1280861866,719894045,03-5624-4903,0429-381-060,145619872,http://api.randomuser.me/portraits/men/81.jpg,http://api.randomuser.me/portraits/med/men/81.jpg,http://api.randomuser.me/portraits/thumb/men/81.jpg,0.6,AU
female,mrs,mabel,marshall,"6142 pockrus page rd",bunbury,"western australia",64434,mabel.marshall30@example.com,tinyswan693,blacky,wacO2KLg,c7f4abc79bf0f873ca2cba68a6d905d3,ca628168c0249886c5ab5a7aa1b5bd5f8b3462fc,f7e59f4bafd423d64eaaa46dda9e57fd622c2dd530455a9ba283a505fcd91301,1429131118,39313183,01-3959-6572,0406-890-507,550124504,http://api.randomuser.me/portraits/women/52.jpg,http://api.randomuser.me/portraits/med/women/52.jpg,http://api.randomuser.me/portraits/thumb/women/52.jpg,0.6,AU
female,miss,dolores,wagner,"9187 elgin st",sydney,tasmania,72890,dolores.wagner82@example.com,beautifulbutterfly809,golfgolf,MOsRPZfY,eaad2a722e265d3d49e0d90c6d31e26c,32e9c95d1494da72f58124df3c5f17e08152baeb,bef3f6946dd62d5f5461bdcfa70c86b37df9ec41b2a574fb6d984ceb393c2273,923820508,16785296,01-0377-4470,0466-338-345,950110518,http://api.randomuser.me/portraits/women/8.jpg,http://api.randomuser.me/portraits/med/women/8.jpg,http://api.randomuser.me/portraits/thumb/women/8.jpg,0.6,AU
